game_id,team_a,team_b,is_home,shots_avg,shots_on_target_avg,goals_avg,box_entries_avg,final_third_entries_avg,crosses_attempted_avg,crosses_success_rate_avg,progressive_passes_success_avg,passes_attempted_avg,pass_success_rate_avg,long_pass_attempted_avg,recoveries_avg,interceptions_avg,tackles_avg,duels_success_rate_avg,defensive_third_turnovers_avg,shots_conceded_avg,shots_on_target_conceded_avg,goals_conceded_avg,box_entries_conceded_avg,final_third_entries_conceded_avg,crosses_attempted_conceded_avg,crosses_success_rate_conceded_avg,progressive_passes_success_conceded_avg,passes_attempted_conceded_avg,pass_success_rate_conceded_avg,long_pass_attempted_conceded_avg,recoveries_conceded_avg,interceptions_conceded_avg,tackles_conceded_avg,duels_success_rate_conceded_avg,defensive_third_turnovers_conceded_avg,diff_shots,diff_shots_on_target,diff_goals,diff_box_entries,diff_final_third_entries,diff_crosses_attempted,diff_crosses_success_rate,diff_progressive_passes_success,diff_passes_attempted,diff_pass_success_rate,diff_long_pass_attempted,diff_recoveries,diff_interceptions,diff_tackles,diff_duels_success_rate,diff_defensive_third_turnovers,actual_result
126283,울산 HD FC,포항 스틸러스,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win
126284,전북 현대 모터스,대전 하나 시티즌,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draw
126285,광주FC,FC서울,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,win
126286,인천 유나이티드,수원FC,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss
126287,강원FC,제주SK FC,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,draw
126288,대구FC,김천 상무 프로축구단,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loss
126289,수원FC,전북 현대 모터스,True,16.0,0.0,1.0,19.0,45.0,33.0,0.24242424242424243,113.0,522.0,0.8773946360153256,105.0,100.0,51.0,33.0,1.0,62.0,7.0,0.0,1.0,6.0,14.0,8.0,0.25,43.0,308.0,0.7467532467532467,56.0,93.0,51.0,19.0,1.0,51.0,-4.0,0.0,-1.0,2.0,16.0,6.0,-0.25,25.0,95.0,0.07954948277528928,28.0,-16.0,5.0,9.0,0.0,22.0,draw
126290,포항 스틸러스,대구FC,True,16.0,0.0,0.0,16.0,33.0,29.0,0.27586206896551724,80.0,356.0,0.7865168539325843,74.0,102.0,35.0,25.0,1.0,63.0,7.0,0.0,1.0,12.0,15.0,9.0,0.2222222222222222,46.0,438.0,0.8264840182648402,64.0,74.0,56.0,36.0,1.0,56.0,-2.0,0.0,-1.0,-2.0,9.0,5.0,-0.07936507936507936,12.0,-7.0,0.006462617466018283,4.0,-4.0,-14.0,-11.0,0.0,16.0,win
126291,김천 상무 프로축구단,울산 HD FC,True,11.0,0.0,1.0,11.0,42.0,17.0,0.29411764705882354,94.0,578.0,0.8667820069204152,81.0,82.0,37.0,17.0,1.0,48.0,5.0,0.0,0.0,10.0,24.0,14.0,0.14285714285714285,58.0,431.0,0.8329466357308585,68.0,70.0,42.0,25.0,1.0,40.0,2.0,0.0,1.0,2.0,-9.0,-5.0,0.07936507936507936,-12.0,7.0,-0.006462617466018283,-4.0,4.0,14.0,11.0,0.0,-16.0,loss
126292,제주SK FC,대전 하나 시티즌,True,7.0,0.0,1.0,6.0,14.0,8.0,0.25,43.0,308.0,0.7467532467532467,56.0,93.0,51.0,19.0,1.0,51.0,16.0,0.0,1.0,19.0,45.0,33.0,0.24242424242424243,113.0,522.0,0.8773946360153256,105.0,100.0,51.0,33.0,1.0,62.0,-5.0,0.0,0.0,0.0,-18.0,-18.0,-0.04242424242424242,-56.0,-97.0,-0.04445345954473745,-29.0,4.0,-2.0,-4.0,0.0,12.0,win
